mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.7969419161478678,0.377278701777052,0.0702964464823405,0.03118331719652501,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9775147555971088,0.9751389137700598,0.9780139964954532,0.9768892219542072,0.0012543243661469973,2
1.6017665068308513,0.24977966102451346,0.18661077817281088,0.029529452791655444,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.9774507602403368,0.9754296483576336,0.9779966291091983,0.9769590125690563,0.0011041465403599713,1
1.2800601323445637,0.11348633651316305,0.09441423416137695,0.004389823354551317,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.9769031740690423,0.9740390402912841,0.9760887219130714,0.9756769787577992,0.0012049799150909632,5
2.3380648295084634,0.105530321269253,0.1750760873158773,0.010310646024309447,20,200,"{'max_depth': 20, 'n_estimators': 200}",0.9766375176602118,0.9743145658280958,0.9761828664359931,0.9757116499747669,0.0010051732913883037,3
1.1631978352864583,0.06894983776811421,0.08690023422241211,0.0033435524755384125,,100,"{'max_depth': None, 'n_estimators': 100}",0.9768673974492645,0.97405505804218,0.9760748063027711,0.9756657539314052,0.0011840062266306628,6
2.2989209493001304,0.04980365124080522,0.17999935150146484,0.018390706656215165,,200,"{'max_depth': None, 'n_estimators': 200}",0.9766207508767668,0.974325009051069,0.9761733935661822,0.975706384498006,0.0009937071114044464,4
